Height (m),Length (m),Reynolds Number,Darcy Friction Factor
0.01,0.2,1925.1581883327137,0.03324402139412102
0.020000000000000004,0.2,,
0.030000000000000006,0.2,2247.4940842590304,0.19239551965690674
0.04000000000000001,0.2,2599.7041510173704,0.1913817633656748
0.05000000000000001,0.2,2910.0120857823713,0.19069207269430727
0.06000000000000001,0.2,3190.5545629537155,0.19018406604278232
0.07,0.2,3448.541689086253,0.18978988691810603
0.08,0.2,3688.6714075468644,0.18947255649048664
0.09000000000000001,0.2,3914.207001242714,0.18920998219675234
0.1,0.2,4127.5244909136145,0.18898804637114294
0.01,0.3,1792.6803621018425,0.03570073134786989
0.020000000000000004,0.3,,
0.030000000000000006,0.3,,
0.04000000000000001,0.3,2250.4844510441503,0.19238557590810187
0.05000000000000001,0.3,2520.0153140114985,0.1915863081825037
0.06000000000000001,0.3,2763.6938217744455,0.1909979716911017
0.07,0.3,2987.7818682357347,0.19054168475984892
0.08,0.3,3196.359664410507,0.19017449631316738
0.09000000000000001,0.3,3392.261455168593,0.18987076236978384
0.1,0.3,3577.5509034599777,0.1896141043765771
0.01,0.4,1671.0859353818876,0.038298449316656054
0.020000000000000004,0.4,,
0.030000000000000006,0.4,,
0.04000000000000001,0.4,2010.7825830459446,0.19327656654933514
0.05000000000000001,0.4,2252.289402905835,0.19237958676181663
0.06000000000000001,0.4,2470.629140860414,0.19171969949138312
0.07,0.4,2671.4165175450617,0.19120813114529278
0.08,0.4,2858.3070790629367,0.19079658921496598
0.09000000000000001,0.4,3033.8401324074707,0.19045625633020707
0.1,0.4,3199.864617520606,0.19016873520467628
0.01,0.6,1458.296462632529,0.04388682386602424
0.020000000000000004,0.6,,
0.030000000000000006,0.6,,
0.04000000000000001,0.6,,
0.05000000000000001,0.6,,
0.06000000000000001,0.6,2084.317375603504,0.19298142113624597
0.07,0.6,2254.3570374269043,0.1923727377836113
0.08,0.6,2412.6335827954163,0.19188332157319088
0.09000000000000001,0.6,2561.287497857531,0.19147878100280485
0.1,0.6,2701.889515336097,0.19113714110969576
